vehicle,make,model,model_year,component,service_theme,complaint_count,recall_count,priority_score,priority,suggested_owner,sla,recommended_action,evidence_sample
2022 Tesla Model 3,Tesla,Model 3,2022,VEHICLE SPEED CONTROL,Service experience issue,10,0,42,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,Vehicle has been scheduled for service 4 times to address phantom braking while set to cruise control on highways. Tesla service center continuously resolves the problem remotely stating that there are no faults in the system and it is operating as intended. I’m an airline pilot and my vehicle poses a safety hazard to me and those around me when operating in any autonomous mode.
2022 Tesla Model 3,Tesla,Model 3,2022,UNKNOWN OR OTHER,Service experience issue,6,0,41,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"I live in Phoenix, AZ. My AC can’t get the car to cool below 92-94 degrees in the middle of the day when it’s 113 out. It is taking 63 days to secure a service appointment. It’s unsafe. My son almost passed out due to heat exhaustion. Meanwhile Elon (who is the CEO of Tesla) is tweeting every hour on twitter about some propaganda [XXX] about the election and Donald Trump vs getting a service team that can repair cars. It’s absurd. It shouldn’t take from July19 to September 9 to secure an appointment. Run a company! INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C"
2022 Honda Civic,Honda,Civic,2022,FORWARD COLLISION AVOIDANCE,Electrical / software issue,5,0,41,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"I rented this car. The adaptive cruise worked great in the daytime, but when it got dark and started to rain, the system started to lose its ability to detect other vehicles. Instead of disabling itself like it should have, the system continued to operate. It often would detect vehicles intermittently, speeding up and slowing down randomly and abruptly. The worst incident was when I was behind an unloaded flatbed semi (again, it was dark and raining.) The car lost track of the semi and accelerated to my set speed. As I got closer, but not THAT close, the car suddenly thought I was much closer "
2022 Hyundai Tucson,Hyundai,Tucson,2022,POWER TRAIN,Driveability / power issue,52,0,40,Low,Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Bought the 2022 Hyundai Tucson. It was driving perfect no issues then I hit 52,000 miles and the check engine light illuminated. The vehicle started sputtering and idling hard like it wasn’t getting fuel when the gas was pressed. I was on the interstate and the vehicle wouldn’t go over 35mph. Now the check engine light illuminates off and on when it feels like it."
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,POWER TRAIN,Safety-critical control issue,26,0,40,Low,Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"On my 2021 Chevrolet Silverado 1500 Custom, I began noticing an issue around 79,000 miles where the vehicle did not come to a complete stop as smoothly as expected. Initially, I suspected the brakes, as I purchased the truck new and had not performed any brake maintenance up to that point. I scheduled an appointment with the dealership to have all four brakes replaced; however, upon inspection, I was advised that the brakes were still in good condition, with approximately 90% life remaining. I then completed a test drive with the shop foreman, who was able to replicate the concern to some exte"
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,ELECTRICAL SYSTEM,Safety-critical control issue,26,0,40,Low,Product Quality + Dealer Service,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,The truck is jumpy during stops. I get a low voltage code but the battery is fine I had it checked out. Reduced acceleration has been activated and after I turn the truck off it is fine. The check engine light comes on and turns off on it's on sometimes same day. I know there is a recall on certain 2022 Silverados but they told me this one wasn't on the recall. It did have one for the brake system they said.
2022 Tesla Model 3,Tesla,Model 3,2022,LANE DEPARTURE,Electrical / software issue,4,0,40,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,teslas have blind spot monitor cameras that activate when the turn signal is activated as a turn left or right. there seems to be a noticeable delay on older cars with intel processors where the cameras take longer to display on the screen in split second manuvers and lane changes that can lead to accidents
2021 Tesla Model 3,Tesla,Model 3,2021,LANE DEPARTURE,Electrical / software issue,3,0,40,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,Side camera glare at night when signaling
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,SUSPENSION,Service experience issue,2,0,40,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"I was pulling out onto the road and heard a noise in the front and right after my upper ball joint snapped completely off folding the tire underneath the truck and smashing the whole front end. Very lucky I was not on the highway. Had truck towed into my shop where after examination part failed prematurely. My insurance paid for it all which was just short of $10,000 in damage minus my $500 deductible and the tow bill. Now I have lost my safe driving deduction because of this claim, which caused my insurance to skyrocket. There were no prior warning signs, and I have my vehicle serviced and in"
2022 Tesla Model 3,Tesla,Model 3,2022,LANE DEPARTURE,General vehicle issue,2,0,40,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Vehicle was being moved across the parking lot in Summon mode. It crossed a parking aisle and went into the next aisle, striking a parked vehicle with a passenger inside."
2022 Tesla Model 3,Tesla,Model 3,2022,SEATS,General vehicle issue,2,0,40,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"ISSUE BACK OF FRONT SEATS COLLAPSED BACKWARDS DURING A REAR END COLLISION. CAR TOTALED. On December 4. 2023 we were rear ended while stopped at red. The van that hit us was doing 40 MPH, when it hit the Tesla we were driving. The two front seat backs collapsed backwards. As the driver and because of the seat collapsing backwards I suffered a fractured BACK and have spent the last six plus months in a cervical thoracic brace which we are still in."
2021 Honda Civic,Honda,Civic,2021,VEHICLE SPEED CONTROL,General vehicle issue,1,0,40,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"was in reverse backing into parking spot. my foot was on the break; however, the car accelerated rapidly resulting in hitting a post. there were no warnings that registered took it to Honda and reported, they indicated they were not aware of this issue and did not run diagnostics as requested"
